State,District,Date,Year,Month,Avg_rainfall,Agency_name
Madhya Pradesh,Indore,2024-01-01,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Indore,2024-01-02,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Indore,2024-01-03,2024,01,5.300658632,IMD GRID MODEL
Madhya Pradesh,Bhopal,2024-01-01,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Bhopal,2024-01-02,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Bhopal,2024-01-03,2024,01,1.0224837755,IMD GRID MODEL
Madhya Pradesh,Ujjain,2024-01-01,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Ujjain,2024-01-02,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Ujjain,2024-01-03,2024,01,1.6973332072,IMD GRID MODEL
Madhya Pradesh,Dewas,2024-01-01,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Dewas,2024-01-02,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Dewas,2024-01-03,2024,01,2.0651111466,IMD GRID MODEL
Madhya Pradesh,Gwalior,2024-01-01,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Gwalior,2024-01-02,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Gwalior,2024-01-03,2024,01,0.0034393669,IMD GRID MODEL
Madhya Pradesh,Jabalpur,2024-01-01,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Jabalpur,2024-01-02,2024,01,0.0,IMD GRID MODEL
Madhya Pradesh,Jabalpur,2024-01-03,2024,01,0.0,IMD GRID MODEL
